state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
MN,0.1,15.0,2004,0,0,EF0
TX,0.1,25.0,2004,0,0,EF0
TX,1.0,25.0,2004,0,0,EF0
TX,0.1,25.0,2004,0,0,EF0
AR,10.6,50.0,2004,0,0,EF1
AR,1.9,50.0,2004,0,0,EF1
AR,9.0,50.0,2004,0,0,EF1
AR,1.2,25.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
NE,0.2,10.0,2004,0,0,EF0
AR,2.8,25.0,2004,0,0,EF0
MS,0.3,50.0,2004,0,0,EF0
IA,3.0,50.0,2004,0,0,EF0
KS,0.3,50.0,2004,0,0,EF0
KS,1.8,200.0,2004,0,0,EF2
KS,1.0,50.0,2004,0,0,EF0
KS,2.0,300.0,2004,0,0,EF2
OK,1.0,600.0,2004,0,0,EF1
TX,0.1,25.0,2004,0,0,EF0
TX,0.1,25.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
IL,9.0,250.0,2004,7,8,EF3
KS,0.1,50.0,2004,0,0,EF0
TX,0.5,50.0,2004,0,0,EF0
AR,9.0,150.0,2004,0,0,EF1
TX,0.7,50.0,2004,0,0,EF0
IN,2.0,150.0,2004,0,0,EF1
IN,3.5,50.0,2004,0,0,EF0
IN,1.0,50.0,2004,0,0,EF0
TX,0.2,30.0,2004,0,0,EF0
IA,4.0,100.0,2004,0,0,EF1
CO,0.1,50.0,2004,0,0,EF0
SD,0.1,50.0,2004,0,0,EF0
SD,4.0,100.0,2004,0,0,EF0
MN,0.5,100.0,2004,0,0,EF1
OK,0.5,10.0,2004,0,0,EF0
IN,1.9,50.0,2004,8,0,EF1
IA,0.1,50.0,2004,0,0,EF0
TX,0.2,100.0,2004,0,0,EF0
TX,0.2,100.0,2004,0,0,EF1
KS,2.5,600.0,2004,1,0,EF3
KS,2.5,500.0,2004,0,0,EF3
KS,3.5,150.0,2004,0,0,EF1
IA,7.1,100.0,2004,0,0,EF1
IA,0.3,30.0,2004,0,0,EF0
IA,1.4,50.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
TX,21.5,100.0,2004,0,0,EF1
TX,2.5,100.0,2004,0,0,EF1
TX,0.1,50.0,2004,0,0,EF0
TX,0.1,50.0,2004,0,0,EF1
